raw_name,file_type,prefix_1,prefix_2,prefix_3,scan_start_time [TAI 93],scan_end_time [TAI 93],duration [sec],scan_start_HHMM,scan_start_HHMMSS,area_wkt,tif_name
VJ103DNB.A2025305.1706.021.2025308145910.nc,3,A2025305,1706,21,1036170370.235198,1036170729.903199,359.6680009365082,17:05,17:05:23,"POLYGON ((145.9637908935547 16.36411476135254, 111.81348419189453 22.2064208984375, 113.91771697998047 42.988407135009766, 155.583251953125 35.34298324584961, 145.9637908935547 16.36411476135254))",A2025305_1706_021.tif
VJ103DNB.A2025305.1842.021.2025308145906.nc,3,A2025305,1842,21,1036176130.195154,1036176489.863164,359.6680099964142,18:41,18:41:23,"POLYGON ((129.13316345214844 33.72562026977539, 88.46277618408203 41.21329879760742, 87.4427490234375 61.87118148803711, 145.9507293701172 50.58567810058594, 129.13316345214844 33.72562026977539))",A2025305_1842_021.tif
VJ103DNB.A2025305.1848.021.2025308145910.nc,3,A2025305,1848,21,1036176491.085948,1036176848.967357,357.8814090490341,18:47,18:47:24,"POLYGON ((120.02893829345703 14.788369178771973, 86.18891906738281 20.535558700561523, 88.45797729492188 41.21559143066406, 129.16116333007812 33.790714263916016, 120.02893829345703 14.788369178771973))",A2025305_1848_021.tif
VJ103DNB.A2025306.1642.021.2025306220532.nc,3,A2025306,1642,21,1036255331.432896,1036255689.314334,357.8814380168915,16:41,16:41:24,"POLYGON ((158.31117248535156 32.25407028198242, 118.44639587402344 39.54437255859375, 117.92462158203125 60.12314987182617, 174.14642333984375 49.31645202636719, 158.31117248535156 32.25407028198242))",A2025306_1642_021.tif
VJ103DNB.A2025306.1648.021.2025306220533.nc,3,A2025306,1648,21,1036255690.537119,1036256050.205144,359.66802501678467,16:47,16:47:23,"POLYGON ((149.57168579101562 13.111693382263184, 116.04486083984375 18.762332916259766, 118.44143676757812 39.54682922363281, 158.33724975585938 32.31945037841797, 149.57168579101562 13.111693382263184))",A2025306_1648_021.tif
VJ103DNB.A2025306.1824.021.2025306235138.nc,3,A2025306,1824,21,1036261450.497027,1036261810.16503,359.6680029630661,18:23,18:23:23,"POLYGON ((131.98831176757812 30.673934936523438, 93.02474975585938 37.770477294921875, 92.79364013671875 58.46928024291992, 147.073486328125 48.07392120361328, 131.98831176757812 30.673934936523438))",A2025306_1824_021.tif
VJ103DNB.A2025306.1830.021.2025306235140.nc,3,A2025306,1830,21,1036261811.387815,1036262169.269238,357.881422996521,18:29,18:29:24,"POLYGON ((123.68144989013672 11.526090621948242, 90.39877319335938 17.093122482299805, 93.01960754394531 37.77235412597656, 132.01307678222656 30.73946762084961, 123.68144989013672 11.526090621948242))",A2025306_1830_021.tif
VJ103DNB.A2025307.1624.021.2025307224802.nc,3,A2025307,1624,21,1036340651.733103,1036341009.614535,357.8814319372177,16:23,16:23:24,"POLYGON ((161.26100158691406 29.173185348510742, 122.93927764892578 36.09920883178711, 123.18329620361328 56.715110778808594, 175.48593139648438 46.72768020629883, 161.26100158691406 29.173185348510742))",A2025307_1624_021.tif
VJ103DNB.A2025307.1630.021.2025307224803.nc,3,A2025307,1630,21,1036341010.83732,1036341370.505339,359.6680190563202,16:29,16:29:23,"POLYGON ((153.27223205566406 9.836945533752441, 120.24104309082031 15.318816184997559, 122.93412780761719 36.10151290893555, 161.28414916992188 29.238990783691406, 153.27223205566406 9.836945533752441))",A2025307_1630_021.tif
VJ103DNB.A2025307.1806.021.2025308000833.nc,3,A2025307,1806,21,1036346770.797187,1036347130.465195,359.66800796985626,18:05,18:05:23,"POLYGON ((135.02447509765625 27.56928253173828, 97.53903198242188 34.32286071777344, 97.9320068359375 55.05540466308594, 148.577392578125 45.434547424316406, 135.02447509765625 27.56928253173828))",A2025307_1806_021.tif
