raw_name,file_type,prefix_1,prefix_2,prefix_3,scan_start_time [TAI 93],scan_end_time [TAI 93],duration [sec],scan_start_HHMM,scan_start_HHMMSS,area_wkt,tif_name,lon_min,lon_max,lat_min,lat_max,KR_Sea_overlap,temp
VNP03DNB.A2025097.1818.002.2025098025519.nc,3,A2025097,1818,2,1018203491.512842,1018203849.709924,358.1970819234848,18:17,18:17:24,"POLYGON ((128.8137969970703 34.464881896972656, 94.71815490722656 39.705322265625, 94.10972595214844 60.3051872253418, 143.8365020751953 52.744659423828125, 128.8137969970703 34.464881896972656))",A2025097_1818_002.tif,94.12696240234376,143.83696240234374,34.46363037109375,60.53063037109375,31.456596558023698,A2025097_1818_002.tif
VNP03DNB.A2025097.1824.002.2025098025521.nc,3,A2025097,1824,2,1018203850.925372,1018204209.122483,358.19711101055145,18:23,18:23:23,"POLYGON ((120.66532897949219 14.621240615844727, 92.27914428710938 19.007118225097656, 94.70976257324219 39.70855712890625, 128.80517578125 34.46832275390625, 120.66532897949219 14.621240615844727))",A2025097_1824_002.tif,92.28975842285156,128.80575842285157,14.61953805541992,39.70553805541992,45.09915865183204,A2025097_1824_002.tif
VNP03DNB.A2025098.1618.002.2025099170855.nc,3,A2025098,1618,2,1018282690.351046,1018283050.327365,359.97631907463074,16:17,16:17:23,"POLYGON ((158.0662078857422 32.82019805908203, 124.66849517822266 37.94851303100586, 124.49463653564453 58.66943359375, 172.30499267578125 51.3935432434082, 158.0662078857422 32.82019805908203))",A2025098_1618_002.tif,124.5151612548828,172.30516125488282,32.81800604248047,58.86400604248047,20.94828365009237,A2025098_1618_002.tif
VNP03DNB.A2025098.1624.002.2025099170854.nc,3,A2025098,1624,2,1018283051.542813,1018283409.739878,358.197065114975,16:23,16:23:24,"POLYGON ((150.2625732421875 12.901278495788574, 122.1423568725586 17.249629974365234, 124.6578369140625 37.95140838623047, 158.05633544921875 32.82292938232422, 150.2625732421875 12.901278495788574))",A2025098_1624_002.tif,122.15098736572266,158.05798736572265,12.901339721679689,37.94833972167969,64.48293670542215,A2025098_1624_002.tif
VNP03DNB.A2025098.1800.002.2025099170855.nc,3,A2025098,1800,2,1018288811.036907,1018289169.233953,358.19704604148865,17:59,17:59:24,"POLYGON ((131.90272521972656 31.254060745239258, 99.26742553710938 36.2840576171875, 99.33722686767578 56.91963195800781, 145.28250122070312 49.91886520385742, 131.90272521972656 31.254060745239258))",A2025098_1800_002.tif,99.26967785644533,145.2836778564453,31.253841064453123,57.077841064453125,87.09986895423793,A2025098_1800_002.tif
VNP03DNB.A2025098.1806.002.2025099170856.nc,3,A2025098,1806,2,1018289170.449422,1018289530.425764,359.97634196281433,18:05,18:05:23,"POLYGON ((124.3784408569336 11.169877052307129, 96.45372009277344 15.48837947845459, 99.262939453125 36.28668212890625, 131.8979034423828 31.25635528564453, 124.3784408569336 11.169877052307129))",A2025098_1806_002.tif,96.46417401123048,131.90017401123046,11.167556243896485,36.28355624389648,12.972724600322303,A2025098_1806_002.tif
VNP03DNB.A2025099.1600.002.2025100000834.nc,3,A2025099,1600,2,1018368011.652914,1018368369.849955,358.1970409154892,15:59,15:59:24,"POLYGON ((161.23411560058594 29.592023849487305, 129.12890625 34.52778244018555, 129.64186096191406 55.17744064331055, 173.86802673339844 48.42998504638672, 161.23411560058594 29.592023849487305))",A2025099_1600_002.tif,129.1406953125,173.8676953125,29.59159811401367,55.30759811401367,34.1042260744736,A2025099_1600_002.tif
VNP03DNB.A2025099.1606.002.2025100000832.nc,3,A2025099,1606,2,1018368371.065432,1018368729.262522,358.1970900297165,16:05,16:05:24,"POLYGON ((154.0453643798828 9.541935920715332, 126.29934692382812 13.83561897277832, 129.12351989746094 34.53052520751953, 161.22872924804688 29.593233108520508, 154.0453643798828 9.541935920715332))",A2025099_1606_002.tif,126.30975506591795,161.22975506591797,9.540345916748048,34.52734591674805,0.0,A2025099_1606_002.tif
VNP03DNB.A2025099.1742.002.2025100000829.nc,3,A2025099,1742,2,1018374130.559928,1018374490.536283,359.9763549566269,17:41,17:41:23,"POLYGON ((135.1014404296875 27.91233253479004, 103.6945571899414 32.75934982299805, 104.37323760986328 53.524871826171875, 147.12716674804688 46.997642517089844, 135.1014404296875 27.91233253479004))",A2025099_1742_002.tif,103.69155285644533,147.1285528564453,27.911702972412108,53.62770297241211,99.99999999999956,A2025099_1742_002.tif
VNP03DNB.A2025099.1748.002.2025100000829.nc,3,A2025099,1748,2,1018374491.75173,1018374849.948824,358.19709408283234,17:47,17:47:24,"POLYGON ((128.19517517089844 7.804749488830566, 100.60245513916016 12.075592041015625, 103.68267822265625 32.76157760620117, 135.0919647216797 27.914669036865234, 128.19517517089844 7.804749488830566))",A2025099_1748_002.tif,100.61280224609376,135.09180224609375,7.804322021484374,32.758322021484375,0.0,A2025099_1748_002.tif
VNP03DNB.A2025100.1724.002.2025101020521.nc,3,A2025100,1724,2,1018459450.08348,1018459810.059815,359.97633504867554,17:23,17:23:23,"POLYGON ((138.47097778320312 24.639230728149414, 107.98023986816406 29.33807945251465, 109.2704086303711 50.12189865112305, 149.3167266845703 43.99223327636719, 138.47097778320312 24.639230728149414))",A2025100_1724_002.tif,107.9802491455078,149.31724914550782,24.63791091918945,50.18291091918945,99.99999999999956,A2025100_1724_002.tif
VNP03DNB.A2025101.1706.002.2025101233355.nc,3,A2025101,1706,2,1018544771.383794,1018545129.580825,358.19703102111816,17:05,17:05:24,"POLYGON ((141.9539337158203 21.338314056396484, 112.29312896728516 25.912994384765625, 113.99208068847656 46.60578536987305, 151.71705627441406 40.8274040222168, 141.9539337158203 21.338314056396484))",A2025101_1706_002.tif,112.30359051513672,151.71759051513672,21.33808660888672,46.63408660888672,99.99999999999956,A2025101_1706_002.tif
VNP03DNB.A2025101.1842.002.2025102032755.nc,3,A2025101,1842,2,1018550530.877714,1018550889.074758,358.1970440149307,18:41,18:41:23,"POLYGON ((125.33393096923828 39.30836868286133, 88.56681823730469 44.9406623840332, 86.4085922241211 65.45906829833984, 143.50254821777344 56.82887649536133, 125.33393096923828 39.30836868286133))",A2025101_1842_002.tif,86.42894909667969,143.5039490966797,39.306400756835934,65.82340075683594,0.0,A2025101_1842_002.tif
VNP03DNB.A2025101.1848.002.2025102032755.nc,3,A2025101,1848,2,1018550890.290226,1018551250.266563,359.97633707523346,18:47,18:47:23,"POLYGON ((115.96450805664062 19.626646041870117, 86.67584228515625 24.145692825317383, 88.56389617919922 44.94438171386719, 125.32957458496094 39.31085968017578, 115.96450805664062 19.626646041870117))",A2025101_1848_002.tif,86.68645642089844,125.32945642089844,19.626429595947265,44.958429595947266,1.8363484450527152,A2025101_1848_002.tif
VNP03DNB.A2025102.1642.002.2025103010751.nc,3,A2025102,1642,2,1018629731.49555,1018630089.692538,358.19698798656464,16:41,16:41:24,"POLYGON ((154.43641662597656 37.69081497192383, 118.63522338867188 43.18009948730469, 117.09732055664062 63.7328987121582, 171.45616149902344 55.490787506103516, 154.43641662597656 37.69081497192383))",A2025102_1642_002.tif,117.11663220214844,171.45563220214845,37.68936328125,64.04436328125,0.0,A2025102_1642_002.tif
